
---------- Begin Simulation Statistics ----------
simSeconds                                   0.309937                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               163505622                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         129718002                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           6075344                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             83240336                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates              2138434                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                83227827                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999850                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                10689543                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                124                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups         9496783                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits            9492491                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             4292                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted        28791                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       587527080                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls        25730496                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           6075724                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    542540083                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.529282                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.531562                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       321492714     59.26%     59.26% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        69617652     12.83%     72.09% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        20489455      3.78%     75.87% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3        45010768      8.30%     84.16% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        13772788      2.54%     86.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        10175278      1.88%     88.58% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6         6954967      1.28%     89.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7         3841162      0.71%     90.57% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8        51185299      9.43%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    542540083                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            419443135                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              829696736                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                   207475844                       # Number of memory references committed (Count)
system.cpu.commit.loads                     137985604                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                    17153652                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   79020483                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                     844379                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   801268436                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls               5386876                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass      9831836      1.18%      1.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    611784103     73.74%     74.92% # Class of committed instruction (Count)
